ID,EMPRESA_JUNIOR,FED,CLUSTER,FATURAMENTO,PORCENTAGEM_MEMBROS,N_PROJETOS,ACOES_COMPARTILHADAS,PARTICIPACAO,NPS,PROJETOS_IMPACTO
623,EMPEAL - Empresa Júnior de Engenharia de Alimentos,Baré Júnior,3,23244.3,80,10,2,95,22,3
1279,Tríade Empresa Júnior,FEJESC,S/N,0,0,0,0,0,0,0
305,Energize Jr.,UNIJr-BA,1,15000,55,17,1,55,50,9
631,A5 Engenharia Júnior ,FEJERO,1,6000,60,12,1,75,50,6
1274,Byte Jr. ,FEJERS,S/N,0,0,0,0,0,0,0
1280,Atrium Junior,FEJEMG,S/N,0,0,0,0,0,0,0
918,EJEM - UFSC,FEJESC,1,6500,60,10,1,53,10,1
912,diElétrica,FEJEMG,2,14000,70,14,1,50,30,7
320,PARTHENON,FEJEPAR,3,35000,68,40,1,80,6,3
45,Ecofarma Jr.,FEJEMG,3,26575.32,80,40,2,85,80,32
388,AD&M,Concentro,5,700000,82,45,4,50,15,7
622,Agro Júnior Consultoria e Assistência Agronômica,Goiás Júnior,2,12000,43,15,3,80,1,2
534,PROJEQ,PB Júnior,2,100000,100,25,3,80,85,22
879,PROMAD Jr.,FEJESP,1,32000,35,8,1,33,1,1
381,Cinética Júnior,Juniores,1,6228,90,15,2,90,40,6
633,Enagri Jr - Projetos e Consultoria Agrícola,FEJEMG,4,122662,68,20,1,60,60,12
870,Premium Consultoria,FEJECE,3,21160,78,8,2,75,33,3
917,Atlas Soluções em Tecnologia,FEJEMG,1,14000,58,12,3,58,1,1
164,Humaniza Consultoria Júnior em Gestão de Pessoas,Goiás Júnior,1,2150,90,15,3,75,14,3
302,Paulista Jr. Projetos & Consultoria,FEJESP,3,125500,76,36,3,80,50,18
582,Archipolis Júnior,Juniores,2,15000,100,20,3,60,1,3
435,SEC Jr. Consultoria,FEJEMG,2,25130,100,70,1,43,10,7
1281,Júnior Legis: Consultoria Jurídica ,FEJEA,S/N,0,0,0,0,0,0,0
236,Dinâmica Consultoria Jr.,FEJEMG,4,62037.7,75,20,2,60,30,6
93,Praxis Consultoria Jr. ,Concentro,3,100000,100,30,6,75,65,20
57,AEC Júnior,FEJEA,1,14000,60,16,1,35,13,3
219,MASCI Consultoria Jr.,FEJEMG,3,80000,70,25,2,45,80,20
263,Sete Jr. - Empresa Junior da Faculdade Adventista da Bahia,UNIJr-BA,1,12000,43,22,1,33,24,12
872,Consultoria Empresarial de Engenharia Química - CEJEQ,FEJESC,1,3000,62,10,2,40,10,2
680,Metrus,FEJEMG,2,30000,100,32,2,75,13,10
29,FCAP JR. Consultoria,FEJEPE,5,850000,79,71,4,90,85,61
592,Orc'estra Gamificação,Concentro,2,46000,90,12,4,60,25,3
856,Haken - Empresa Júnior de Ciência da Computação,FEJEPAR,2,12034.1,75,6,1,75,50,3
801,IPRO Jr. - Inovações em Projetos Júnior,FEJEMG,1,15000,60,15,2,47,84,13
871,Projetta Júnior,FEJECE,2,20000,100,35,1,81,60,21
1123,AJEA Consultoria & Projetos,FEJEMG,1,19213.23,90,21,1,51,1,1
681,Magna Empresa Jurídica Júnior,FEJEMG,1,18000,60,45,2,33,1,1
679,InfoAlto Empresa Júnior,FEJEMG,1,18000,70,15,1,70,45,7
927,EdificarSe Engenharia & Projetos,SERJÚNIOR,1,101000,46,68,4,50,50,34
58,CONEX - Consultoria em Negócios Exteriores,Concentro,2,18500,100,26,1,70,1,13
175,EJAUFS Consultoria,SERJÚNIOR,2,38337.5,27,12,1,33,1,1
538,Empresa Júnior de Assistência Veterinária,FEJESP,2,19721,72,13,1,80,1,1
1275,Máxima Consultoria Jr,FEJERO,S/N,0,0,0,0,0,0,0
682,ECoA Química Júnior,Baré Júnior,1,7000,100,14,3,70,32,5
609,UFABC Jr.,FEJESP,4,100000,80,24,2,50,1,1
736,TIJUC - Tiradentes Júnior Consulting,FEJEA,1,2500,38,4,1,36,1,1
600,Quanta Jr,FEJESP,2,35501.54,85,32,1,72,1,1
591,Emzootec Júnior ,FEJECE,1,3774,90,8,1,60,5,5
22,EPRO Consultoria,FEJECE,4,105000,80,25,6,80,50,13
593,GeoCapta,FEJECE,1,6400,95,14,2,33,75,13
688,Qualitas Jr,FEJESP,1,11000,77,6,1,33,1,1
50,EJECT,RN Júnior,4,81000,67,30,3,50,50,15
693,GeoAmbiental Jr,FEJESP,2,42607.66,85,33,2,50,1,1
233,Análise Consultoria Econômica,Piauí Júnior,2,28800,100,16,1,100,50,8
424,CACE Consultoria Jr.,FEJEMG,1,19666.66,71,15,2,65,80,12
691,Atom Jr.,FEJESP,2,57266.61,68,12,1,51,1,1
539,Pilares Engenharia Júnior,RN Júnior,1,14000,76,15,1,44,50,8
564,Estat Júnior,FEJESP,1,27500,65,25,2,40,25,7
882,CAP Jr Consultoria,FEJESP,2,22000,27,30,1,50,7,3
695,Nuclêa Jr ,Pará Júnior,1,5000,0,4,0,0,0,0
73,Ciclo Jr.,FEJECE,3,100000,90,50,8,60,50,25
165,SofTeam,SERJÚNIOR,2,58759,27,33,1,33,2,1
809,Genesys Biotecnologia,Concentro,1,9600,55,24,3,76,1,1
698,Prospector Jr - Soluções em geologia e meio ambiente,Pará Júnior,1,10000,75,15,1,60,45,7
393,Empresa Junior de Administração - EJAD,Maranhão Júnior,1,19215.51,75,9,2,40,23,3
923,Floresta Júnior - Projetos e Consultoria em Engenharia Florestal,FEJEMG,1,12500,83,12,2,33,14,2
1253,CPEn Jr,FEJERS,1,3600,53,6,1,33,1,1
885,CincoLinha Jr.,FEJERS,1,4905,50,11,3,70,36,4
706,Horizonte Soluções Geofísicas,RioJunior,2,50000,80,13,1,40,44,6
888,Farma Júnior,FEJESP,1,22000,45,20,3,38,1,1
